GeoFIPS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
" ""05035""",38993,10924,60961,75871,35639,62099,63241,58571,(D),19128,75964,22582,89076,57217,35041,18206,74085,52186,77436,66295,106376,102828,113829
" ""05037""",30643,3426,51891,64713,22154,32376,24858,21085,36707,19169,15962,22600,69157,47999,9340,8456,40169,16799,36463,56849,55630,56618,81352
" ""05039""",12924,13921,13006,11115,11659,13485,13532,12157,10898,10805,10358,10293,10114,10877,11127,11971,13244,13070,13646,11702,10724,9493,9859
" ""05041""",27046,16322,65804,59029,52875,55048,64507,77378,104780,129961,166135,134556,172422,105389,141002,158560,104272,86066,92892,91823,144754,127241,140798
" ""05043""",24411,21507,42910,56828,54174,53958,51905,53584,44849,64360,81077,83066,86319,60025,70160,80962,68648,60866,67081,52916,72141,71869,73298
" ""05045""",3230,634,6942,9624,373,7416,(D),(D),(D),(D),(D),903,(D),(D),(D),(D),(D),(D),(D),(D),2236,1700,1770
" ""05047""",36132,36084,30119,61969,55031,43359,42687,29959,5009,3931,2519,1746,13622,42358,24841,2576,8853,11755,5725,5778,19346,64304,11781
" ""05049""",7923,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),12665,(D),(D),2126,2944,2567,2740,(D),(D),1964,2313,2562
" ""05051""",(D),(D),(D),10875,12576,14606,15322,14055,9848,8559,5854,6856,7463,5929,3837,4151,4462,4029,4487,4303,6894,5617,6469
" ""05053""",12379,13569,12812,13807,14326,13980,17522,10958,11482,12993,11528,17018,15311,16363,10601,10491,10257,11377,12374,12497,12230,13048,14303
" ""05055""",31112,19353,58045,59359,36067,49802,45213,59891,112377,97162,31340,94134,103809,61944,20814,33487,39216,38887,26261,57072,46064,57837,91542
" ""05057""",71204,59607,42964,78739,62227,35765,45635,41177,4913,9457,6000,14903,41565,70325,55293,24001,46386,53442,8306,8322,49041,114389,47526
" ""05059""",11057,11868,12454,17427,16842,18010,17242,9887,6882,9354,8517,8034,6375,6968,7122,7196,10034,6481,5961,6081,8764,15342,7182
" ""05061""",58946,62406,43060,85033,80403,55673,76802,73309,31713,26480,6858,38007,70719,99853,99707,77237,89497,101356,36967,8955,83939,173916,91160
" ""05063""",34688,32058,(D),54356,41465,35888,47384,55154,39682,40618,18948,38111,54523,69316,68200,65338,75976,72583,40492,14414,68720,130241,91621
" ""05065""",12450,14031,13383,21199,18434,17683,(D),11550,2098,1809,1517,14289,18727,(D),(D),(D),5541,8908,(D),(D),9746,25428,8381
" ""05067""",39615,32013,62158,67704,33117,40669,38374,55609,61889,52568,26430,68621,100648,102258,59577,94049,118960,98802,126929,121172,111455,149342,216316
" ""05069""",33473,20988,58068,72767,50737,57783,72178,79965,93400,74874,92709,125896,158955,91925,86584,124862,68278,58344,60412,66319,109627,108104,149287
" ""05071""",38598,42501,29698,58707,47229,31266,38380,34620,1865,4573,2566,10760,23397,39258,29240,10822,19046,23298,2608,2184,25661,68844,20668
" ""05073""",(D),35891,35391,58627,48914,42045,45336,39417,(D),3889,3425,40462,(D),(D),39519,(D),32903,31064,11546,7304,39072,69297,54593
" ""05075""",32549,30574,62964,59098,35388,41895,37574,53957,68839,51704,11526,52490,88419,96222,13680,46849,45256,34648,22676,53414,32458,86284,87831
" ""05077""",37371,18134,73904,69320,35053,58123,(D),59795,37405,44910,128732,61828,60763,9496,11977,11321,26484,19381,29868,14608,61604,45004,33064
" ""05079""",38130,26094,50101,66770,51356,37757,43095,32897,16459,21553,24700,43186,89068,44658,55833,51442,37532,31428,13312,10142,70687,94154,61794
" ""05081""",15340,12759,14928,27693,19563,14102,23212,20898,16005,15146,16365,23715,36361,40954,41544,29529,33309,26627,15711,10548,31782,55131,46998
" ""05083""",45512,44362,35333,55506,54503,40187,47961,44890,17679,12629,2058,50824,62836,95448,82037,52187,59679,69190,17632,2672,65933,144725,82787
" ""05085""",45825,34846,71301,86084,43496,(D),(D),(D),(D),42035,(D),(D),(D),43591,9636,9542,25081,22197,9904,45897,51502,41651,100918
" ""05087""",48008,48406,38140,73016,58299,41540,50612,44918,10413,6655,3868,36230,54143,97321,(D),39801,61038,69947,6059,6131,70938,165968,81202
" ""05089""",2545,680,4128,11474,11114,12030,13946,5765,1597,5386,2102,1600,1330,6445,1556,2454,1883,(D),(D),(D),1097,1835,1380
" ""05091""",27925,27031,28266,42454,27145,24625,35769,15092,6992,12589,15650,8690,14395,9092,13059,21853,14593,13427,17585,16026,14988,17634,20332
" ""05093""",49257,(D),(D),127302,68547,126925,86702,101055,69101,61252,188661,26172,86381,24450,22612,20791,57580,23411,68478,54293,150243,156812,115894
" ""05095""",24901,14070,36086,33599,29437,41404,26895,29077,18003,28667,51498,51619,91878,38423,9470,7232,21757,17159,20057,33296,38064,38169,57188
" ""05097""",23475,26569,19956,31385,26276,(D),23222,(D),12918,10750,7838,17044,18737,(D),10947,(D),3098,3389,2857,2589,3382,9130,3409
" ""05099""",20672,24145,17820,28612,26214,24684,24019,(D),5737,3904,2362,10846,16455,27076,25915,17832,21729,21845,9239,4620,20493,38414,24718
" ""05101""",(D),(D),8873,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1876,(D),1275,982,871,844,929
" ""05103""",17222,18250,11992,13534,12885,11931,14233,14135,9797,12127,5788,7684,9679,11499,10677,9549,10494,11088,9048,7159,12016,15732,13696
" ""05105""",16350,16256,13326,22590,18286,18636,18944,17872,11964,7056,(D),(D),16175,21545,22101,14948,23420,20401,11815,8003,27673,40645,31066
" ""05107""",45716,12765,69504,79746,55300,52464,98356,49738,40739,13941,94452,46572,81473,6318,2786,7160,39274,17698,38240,47839,102788,87996,108198
" ""05109""",27683,(D),24340,42973,45304,40177,59684,57890,40802,44542,19330,20270,19832,32106,30293,15008,23283,25756,6868,15568,24305,58317,21860
" ""05111""",56663,29192,102695,118628,82141,106591,75789,116631,121752,111854,95994,79372,120029,51876,30274,31681,89297,63162,79039,79064,95253,108716,140248
